"cell_line","treatment","design","time","concentration","cell_count__time0","dead_count__time0","cell_count","dead_count","cell_count__ctrl","dead_count__ctrl"
"cell_line_TT","drug_DD",1,3,0.001,1197.70779220779,296.253246753247,5569,516,5425.3,495.3
"cell_line_TT","drug_DD",1,3,0.00031623,1197.70779220779,296.253246753247,5163,486,5425.3,495.3
"cell_line_TT","drug_SS",1,3,0.31623,1197.70779220779,296.253246753247,5138,515,5425.3,495.3
"cell_line_TT","drug_WW",1,3,0,1197.70779220779,296.253246753247,5029,533,5425.3,495.3
"cell_line_TT","drug_W",1,3,1,1197.70779220779,296.253246753247,332,1356,5425.3,495.3
"cell_line_TT","drug_W",1,3,0.31623,1197.70779220779,296.253246753247,312,1227,5425.3,495.3
"cell_line_TT","drug_W",1,3,0.1,1197.70779220779,296.253246753247,307,1211,5425.3,495.3
"cell_line_TT","drug_W",1,3,0.031623,1197.70779220779,296.253246753247,364,1326,5425.3,495.3
"cell_line_TT","drug_W",1,3,0.01,1197.70779220779,296.253246753247,3853,608,5425.3,495.3
"cell_line_TT","drug_W",1,3,0.0031623,1197.70779220779,296.253246753247,5909,502,5425.3,495.3
"cell_line_TT","drug_W",1,3,0.001,1197.70779220779,296.253246753247,6207,524,5425.3,495.3
"cell_line_TT","drug_W",1,3,0.00031623,1197.70779220779,296.253246753247,6807,447,5425.3,495.3
"cell_line_TT","drug_W",1,3,1e-04,1197.70779220779,296.253246753247,6175,483,5425.3,495.3
"cell_line_TT","drug_M",1,3,0.31623,1197.70779220779,296.253246753247,4698,431,5425.3,495.3
"cell_line_TT","drug_II",1,3,1,1197.70779220779,296.253246753247,826,1364,5425.3,495.3
"cell_line_TT","drug_TT",1,3,10,1197.70779220779,296.253246753247,288,1060,5425.3,495.3
"cell_line_TT","drug_TT",1,3,3.1623,1197.70779220779,296.253246753247,402,1160,5425.3,495.3
"cell_line_TT","drug_TT",1,3,1,1197.70779220779,296.253246753247,556,1244,5425.3,495.3
"cell_line_TT","drug_TT",1,3,0.31623,1197.70779220779,296.253246753247,584,1042,5425.3,495.3
"cell_line_TT","drug_TT",1,3,0.1,1197.70779220779,296.253246753247,577,1016,5425.3,495.3
"cell_line_TT","drug_TT",1,3,0.031623,1197.70779220779,296.253246753247,1245,960,5425.3,495.3
"cell_line_TT","drug_TT",1,3,0.01,1197.70779220779,296.253246753247,3521,744,5425.3,495.3
"cell_line_TT","drug_TT",1,3,0.0031623,1197.70779220779,296.253246753247,5553,569,5425.3,495.3
"cell_line_TT","drug_TT",1,3,0.001,1197.70779220779,296.253246753247,5801,538,5425.3,495.3
"cell_line_TT","drug_WW",1,3,0,1197.70779220779,296.253246753247,6501,503,5425.3,495.3
"cell_line_TT","drug_II",1,3,1,1197.70779220779,296.253246753247,674,1345,5425.3,495.3
"cell_line_TT","drug_O",1,3,10,1197.70779220779,296.253246753247,2676,618,5425.3,495.3
"cell_line_TT","drug_O",1,3,3.1623,1197.70779220779,296.253246753247,5176,534,5425.3,495.3
"cell_line_TT","drug_O",1,3,1,1197.70779220779,296.253246753247,5691,580,5425.3,495.3
"cell_line_TT","drug_O",1,3,0.31623,1197.70779220779,296.253246753247,4953,459,5425.3,495.3
"cell_line_TT","drug_O",1,3,0.1,1197.70779220779,296.253246753247,5378,532,5425.3,495.3
"cell_line_TT","drug_O",1,3,0.031623,1197.70779220779,296.253246753247,4886,511,5425.3,495.3
"cell_line_TT","drug_O",1,3,0.01,1197.70779220779,296.253246753247,5915,436,5425.3,495.3
"cell_line_TT","drug_O",1,3,0.0031623,1197.70779220779,296.253246753247,4972,483,5425.3,495.3
"cell_line_TT","drug_O",1,3,0.001,1197.70779220779,296.253246753247,4762,481,5425.3,495.3
